City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Lagoa,PT,39.05,-27.9833,57.74,78,20,32.3,few clouds
134,Ahipara,NZ,-35.1667,173.1667,66.07,63,37,9.57,scattered clouds
135,Kapaa,US,22.0752,-159.319,80.6,61,75,14.97,broken clouds
136,Walldurn,DE,49.5833,9.3667,43.0,57,35,4.12,scattered clouds
137,Jamestown,US,42.097,-79.2353,52.0,43,1,12.66,haze
138,Shar,KZ,49.5886,81.0453,30.67,69,25,6.33,scattered clouds
139,Georgetown,MY,5.4112,100.3354,78.8,89,40,3.44,moderate rain
140,Saskylakh,RU,71.9167,114.0833,33.69,97,100,20.11,light snow
141,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,67,75,11.5,broken clouds
142,Athabasca,CA,54.7169,-113.2854,39.2,24,100,13.8,overcast clouds
143,Qeshm,IR,26.9581,56.2719,77.0,73,15,4.61,haze
144,Ulaanbaatar,MN,47.9077,106.8832,41.0,33,75,11.18,broken clouds
145,New Norfolk,AU,-42.7826,147.0587,54.0,85,97,4.0,overcast clouds
146,Puerto Escondido,MX,15.85,-97.0667,86.0,79,75,7.25,broken clouds
147,Malchevskaya,RU,49.0552,40.3625,48.38,75,100,10.29,light rain
148,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,20,13.8,few clouds
149,Kangaatsiaq,GL,68.3065,-53.4641,30.92,80,100,5.48,overcast clouds
150,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,9.22,light rain
151,Rundu,NA,-17.9333,19.7667,61.21,43,16,6.29,few clouds
152,Ilulissat,GL,69.2167,-51.1,33.8,69,100,6.91,overcast clouds
153,Kununurra,AU,-15.7667,128.7333,77.0,41,63,8.05,broken clouds
154,Coquimbo,CL,-29.9533,-71.3436,59.0,77,0,6.91,clear sky
155,Namatanai,PG,-3.6667,152.4333,80.01,79,100,3.24,overcast clouds
156,Khash,IR,28.2211,61.2158,67.46,9,0,2.08,clear sky
157,Sinnamary,GF,5.3833,-52.95,77.5,88,100,12.26,moderate rain
158,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,93,90,7.85,overcast clouds
159,At-Bashi,KG,41.1702,75.8106,32.32,40,22,3.13,few clouds
160,Leningradskiy,RU,69.3833,178.4167,28.9,85,99,3.65,overcast clouds
161,San Rafael Del Sur,NI,11.8485,-86.4384,89.6,45,20,11.5,few clouds
162,Tawang,IN,27.5833,91.8667,39.52,63,13,5.88,few clouds
163,Thompson,CA,55.7435,-97.8558,26.6,43,75,9.22,broken clouds
164,Talnakh,RU,69.4865,88.3972,31.51,97,100,10.71,snow
165,Fairbanks,US,64.8378,-147.7164,57.2,26,1,9.22,clear sky
166,Dakar,SN,14.6937,-17.4441,68.0,88,75,18.41,broken clouds
167,Yarmouth,US,41.7057,-70.2286,52.0,54,1,12.66,clear sky
168,Nikolskoye,RU,59.7035,30.7861,39.0,86,40,4.47,scattered clouds
169,Ejea De Los Caballeros,ES,42.1263,-1.1372,55.99,58,53,16.11,broken clouds
170,Korsakov,RU,46.6328,142.7813,37.4,81,40,15.66,scattered clouds
171,Nanakuli,US,21.3906,-158.1547,82.4,51,75,9.22,broken clouds
172,Huilong,CN,31.8111,121.655,63.0,91,100,6.31,overcast clouds
173,Necochea,AR,-38.5473,-58.7368,61.0,96,100,4.25,light rain
174,Dingle,PH,10.9995,122.6711,80.08,76,100,4.21,overcast clouds
175,Aksarayskiy,RU,46.7924,48.0119,46.4,87,0,6.71,clear sky
176,College,US,64.8569,-147.8028,57.2,28,20,9.22,few clouds
177,Inhambane,MZ,-23.865,35.3833,67.51,88,77,3.11,broken clouds
178,Hue,VN,16.4667,107.6,78.8,94,20,1.14,few clouds
179,Samarai,PG,-10.6167,150.6667,83.95,74,95,10.69,overcast clouds
180,Veinticinco De Mayo,AR,-35.4323,-60.1727,59.0,63,100,8.01,light rain
181,Gizo,SB,-8.103,156.8419,83.53,71,95,8.79,overcast clouds
182,Maragogi,BR,-9.0122,-35.2225,78.46,80,3,7.56,clear sky
183,Santa Cruz,BO,-17.8,-63.1667,71.6,94,75,5.75,moderate rain
184,Butaritari,KI,3.0707,172.7902,82.15,77,92,9.01,light rain
185,Tuatapere,NZ,-46.1333,167.6833,52.0,89,99,1.01,overcast clouds
186,Evensk,RU,61.95,159.2333,31.75,99,100,9.04,snow
187,Sogne,NO,58.0833,7.8167,41.0,38,8,5.75,clear sky
188,Acapulco,MX,16.8634,-99.8901,84.2,65,90,14.97,overcast clouds
189,Richards Bay,ZA,-28.783,32.0377,62.65,84,51,9.17,broken clouds
190,Rabo De Peixe,PT,37.8,-25.5833,59.0,63,75,13.8,broken clouds
191,Sitka,US,57.0531,-135.33,60.8,20,20,9.22,few clouds
192,Ugoofaaru,MV,5.6667,73.0,82.83,73,18,7.23,few clouds
193,Najran,SA,17.4924,44.1277,71.6,24,0,1.97,clear sky
194,Shenjiamen,CN,29.9576,122.298,61.09,94,100,5.7,overcast clouds
195,Klaksvik,FO,62.2266,-6.589,42.8,100,79,6.91,broken clouds
196,Nizhniy Kuranakh,RU,58.8353,125.4869,27.19,88,100,9.55,light snow
197,Port-Gentil,GA,-0.7193,8.7815,80.87,83,71,8.9,broken clouds
198,Noumea,NC,-22.2763,166.4572,82.99,69,0,1.14,clear sky
199,Miracema Do Tocantins,BR,-9.5618,-48.3967,76.12,86,37,0.87,scattered clouds
200,Geraldton,AU,-28.7667,114.6,59.0,77,0,10.36,clear sky
201,Baiyin,CN,36.5583,104.2081,39.2,100,90,8.95,overcast clouds
202,Vestmannaeyjar,IS,63.4427,-20.2734,46.51,87,100,19.86,overcast clouds
203,Kem,RU,64.9555,34.5793,36.63,94,99,2.73,overcast clouds
204,Faya,SA,18.3851,42.4509,66.2,34,20,4.61,few clouds
205,Manadhoo,MV,5.7667,73.3833,82.98,73,11,7.74,few clouds
206,Bathsheba,BB,13.2167,-59.5167,80.6,61,20,17.27,few clouds
207,Woodstock,CA,43.1334,-80.7497,59.0,47,49,8.05,scattered clouds
208,Puqi,CN,29.7167,113.8833,62.22,93,100,10.36,moderate rain
209,Rawson,AR,-43.3002,-65.1023,55.69,70,6,17.13,clear sky
210,Chernyshevskiy,RU,63.0128,112.4714,25.38,95,87,8.7,overcast clouds
211,Oussouye,SN,12.485,-16.5469,75.2,83,0,2.3,clear sky
212,Beringovskiy,RU,63.05,179.3167,27.75,85,99,6.08,overcast clouds
213,Tura,IN,25.5198,90.2201,71.8,36,53,4.88,broken clouds
214,Kandi,BJ,11.1342,2.9386,86.77,45,83,8.46,broken clouds
215,Lompoc,US,34.6391,-120.4579,60.01,63,0,13.8,clear sky
216,Ondjiva,AO,-17.0667,15.7333,67.66,35,72,7.67,broken clouds
217,Quimper,FR,48.0,-4.1,59.0,38,0,9.22,clear sky
218,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,11.5,scattered clouds
219,Madang,PG,-5.2246,145.7966,79.16,84,100,3.85,overcast clouds
220,Port-Cartier,CA,50.0334,-66.8654,35.01,100,78,4.61,broken clouds
221,Pitimbu,BR,-7.4706,-34.8086,80.6,83,20,6.91,few clouds
222,Tazovskiy,RU,67.4667,78.7,33.12,98,100,13.13,light rain
223,Suicheng,CN,33.8963,117.9331,56.61,85,100,10.07,overcast clouds
224,Senneterre,CA,48.3835,-77.2328,60.8,23,40,9.22,scattered clouds
225,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,16.11,clear sky
226,Katsuura,JP,35.1333,140.3,59.0,55,40,4.61,scattered clouds
227,Bondoukou,CI,8.0333,-2.8,75.33,82,99,4.25,light rain
228,Asau,RO,46.4333,26.4,35.01,65,38,3.15,scattered clouds
229,Turukhansk,RU,65.8167,87.9833,24.12,93,31,13.04,scattered clouds
230,Pitea,SE,65.3172,21.4794,32.0,93,90,13.8,light snow
231,Ponta Do Sol,PT,32.6667,-17.1,59.0,76,58,1.99,broken clouds
232,Warmbad,NA,-28.45,18.7333,73.11,23,5,10.36,clear sky
233,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,13.8,moderate rain
234,La Ronge,CA,55.1001,-105.2842,32.0,34,100,9.22,overcast clouds
235,Saint Pete Beach,US,27.7253,-82.7412,82.0,65,75,3.44,broken clouds
236,Namibe,AO,-15.1961,12.1522,78.04,76,0,1.97,clear sky
237,Khorramshahr,IR,30.4397,48.1664,78.8,34,0,2.3,clear sky
238,Port Lincoln,AU,-34.7333,135.8667,61.18,69,80,5.91,broken clouds
239,Korla,CN,41.7597,86.1469,43.27,60,37,8.23,scattered clouds
240,Mareeba,AU,-17.0,145.4333,77.0,87,99,5.01,overcast clouds
241,Zhanaozen,KZ,43.3,52.8,51.55,69,3,6.53,clear sky
242,Carutapera,BR,-1.195,-46.02,76.73,90,82,6.06,broken clouds
243,Ishigaki,JP,24.3448,124.1572,73.4,78,40,23.02,scattered clouds
244,Puerto Madryn,AR,-42.7692,-65.0385,57.29,58,1,22.01,clear sky
245,Honningsvag,NO,70.9821,25.9704,33.8,60,98,15.84,overcast clouds
246,Myitkyina,MM,25.3833,97.4,71.71,56,43,1.14,scattered clouds
247,Hassleholm,SE,56.1591,13.7664,37.99,75,27,5.75,scattered clouds
248,Lorengau,PG,-2.0226,147.2712,81.63,77,94,3.69,overcast clouds
249,Verkhoyansk,RU,67.5447,133.385,11.59,86,77,2.42,broken clouds
250,East London,ZA,-33.0153,27.9116,63.88,76,8,9.22,clear sky
251,Ostrovnoy,RU,68.0531,39.5131,32.16,97,100,21.81,snow
252,Arlit,NE,18.7369,7.3853,85.78,7,45,10.76,scattered clouds
253,Chulym,RU,55.0997,80.9572,31.3,87,6,5.73,clear sky
254,Siaya,KE,0.0612,34.2882,68.0,88,75,3.51,light rain
255,Aquiraz,BR,-3.9014,-38.3911,82.99,83,20,4.61,few clouds
256,Clovis,US,36.8252,-119.7029,81.0,27,20,3.44,few clouds
257,General Roca,AR,-39.0333,-67.5833,59.0,77,0,6.87,clear sky
258,Meadow Lake,US,34.8014,-106.5436,64.99,22,75,32.21,broken clouds
259,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.03,81,2,13.09,clear sky
260,The Valley,AI,18.217,-63.0578,80.6,78,20,10.36,few clouds
261,Berdigestyakh,RU,62.0989,126.6992,21.83,87,100,9.91,overcast clouds
262,Arman,RU,59.7,150.1667,30.25,75,88,5.53,overcast clouds
