City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Winsum,NL,2021-04-14 23:27:29,53.33,6.5208,39.2,93,90,4.61
98,Richmond,US,2021-04-14 23:25:26,37.5538,-77.4603,68.0,60,90,10.36
99,Butaritari,KI,2021-04-14 23:27:29,3.0707,172.7902,81.57,78,83,8.66
100,Pitimbu,BR,2021-04-14 23:27:29,-7.4706,-34.8086,78.8,100,20,4.61
101,Namatanai,PG,2021-04-14 23:27:29,-3.6667,152.4333,82.56,73,76,4.18
102,Vostok,RU,2021-04-14 23:27:30,46.4856,135.8833,28.06,39,39,12.06
103,Omidiyeh,IR,2021-04-14 23:27:30,30.7597,49.705,71.6,23,0,11.5
104,Ponyri,RU,2021-04-14 23:27:30,52.3186,36.3039,53.6,43,100,8.95
105,Buchanan,LR,2021-04-14 23:27:30,5.8808,-10.0467,79.93,84,86,3.69
106,Meadow Lake,US,2021-04-14 23:27:31,34.8014,-106.5436,77.0,13,40,19.57
107,Anaconda,US,2021-04-14 23:27:31,46.1285,-112.9423,33.8,55,90,4.61
108,Mbini,GQ,2021-04-14 23:27:31,1.574,9.6134,77.0,100,40,4.88
109,Los Llanos De Aridane,ES,2021-04-14 23:27:31,28.6585,-17.9182,68.0,68,0,4.61
110,Ilulissat,GL,2021-04-14 23:27:32,69.2167,-51.1,15.8,67,75,17.27
111,Chapais,CA,2021-04-14 23:27:32,49.7834,-74.8492,59.0,26,1,6.91
112,Mahebourg,MU,2021-04-14 23:27:32,-20.4081,57.7,78.8,83,40,11.5
113,Tabuk,PH,2021-04-14 23:27:33,17.4189,121.4443,75.51,84,83,2.37
114,Saint-Philippe,RE,2021-04-14 23:27:33,-21.3585,55.7679,77.0,78,90,6.91
115,Barrow,US,2021-04-14 23:27:33,71.2906,-156.7887,15.8,73,1,13.8
116,Hino,JP,2021-04-14 23:27:34,35.6731,139.4003,50.0,43,1,13.8
117,Khani,GE,2021-04-14 23:27:35,41.9563,42.9566,46.4,87,0,6.91
118,Khatanga,RU,2021-04-14 23:27:25,71.9667,102.5,-14.53,97,43,8.59
119,Promyshlennovskiy,RU,2021-04-14 23:27:35,55.4833,86.2,32.0,86,0,6.71
120,Channel-Port Aux Basques,CA,2021-04-14 23:27:35,47.5702,-59.1367,40.82,68,15,4.21
121,Hambantota,LK,2021-04-14 23:27:36,6.1241,81.1185,79.11,81,100,5.26
122,Ribeira Grande,PT,2021-04-14 23:27:36,38.5167,-28.7,61.95,88,84,7.18
123,Dalby,AU,2021-04-14 23:27:36,-27.1833,151.2667,66.2,72,0,3.44
124,Klaksvik,FO,2021-04-14 23:27:37,62.2266,-6.589,44.6,100,75,11.5
125,Kitob,UZ,2021-04-14 23:27:37,39.0843,66.8332,51.8,54,63,4.61
126,Lucea,JM,2021-04-14 23:27:37,18.451,-78.1736,82.0,61,20,13.8
127,Walvis Bay,NA,2021-04-14 23:23:33,-22.9575,14.5053,79.0,29,0,5.01
128,Chumikan,RU,2021-04-14 23:27:37,54.7183,135.315,23.59,76,100,16.6
129,Avarua,CK,2021-04-14 23:27:40,-21.2078,-159.775,82.4,69,40,4.61
130,Asosa,ET,2021-04-14 23:27:40,10.0667,34.5333,72.19,15,80,1.63
131,Georgetown,MY,2021-04-14 23:27:40,5.4112,100.3354,79.0,88,20,1.14
132,Ajdabiya,LY,2021-04-14 23:27:41,30.7554,20.2263,62.19,76,64,12.88
133,Souillac,MU,2021-04-14 23:27:41,-20.5167,57.5167,78.8,83,40,11.5
134,Vao,NC,2021-04-14 23:24:22,-22.6667,167.4833,74.84,79,100,20.89
135,Cape Town,ZA,2021-04-14 23:24:03,-33.9258,18.4232,63.0,88,0,6.91
136,Soyo,AO,2021-04-14 23:27:41,-6.1349,12.3689,80.31,82,69,3.89
137,Deputatskiy,RU,2021-04-14 23:27:42,69.3,139.9,-4.99,100,100,3.58
138,Aketi,CD,2021-04-14 23:27:42,2.7388,23.7833,70.57,95,86,3.0
139,Zhireken,RU,2021-04-14 23:27:42,52.8249,117.3076,26.19,43,100,2.66
140,Castro,BR,2021-04-14 23:27:42,-24.7911,-50.0119,57.99,78,99,7.61
141,Mana,GF,2021-04-14 23:27:43,5.6592,-53.7767,78.6,89,81,8.3
142,Yellowknife,CA,2021-04-14 23:23:20,62.456,-114.3525,42.8,39,1,5.75
143,Nelson Bay,AU,2021-04-14 23:27:43,-32.7167,152.15,69.8,49,0,6.91
144,Kapaa,US,2021-04-14 23:27:35,22.0752,-159.319,78.8,61,40,16.11
145,Faanui,PF,2021-04-14 23:27:43,-16.4833,-151.75,81.82,73,100,11.97
146,Meulaboh,ID,2021-04-14 23:27:44,4.1363,96.1285,76.42,87,79,2.28
147,Majene,ID,2021-04-14 23:27:45,-3.5403,118.9707,77.99,85,54,3.44
148,Husavik,IS,2021-04-14 23:27:45,66.0449,-17.3389,41.0,70,40,3.44
149,Todos Santos,MX,2021-04-14 23:27:46,23.45,-110.2167,69.01,78,0,5.99
150,Kendari,ID,2021-04-14 23:25:23,-3.945,122.4989,75.16,92,92,3.11
151,Tessalit,ML,2021-04-14 23:27:46,20.1986,1.0114,89.02,8,9,9.69
152,Gambissara,SN,2021-04-14 23:27:46,13.2382,-14.3108,86.25,38,0,11.83
153,Korla,CN,2021-04-14 23:27:46,41.7597,86.1469,55.36,29,10,7.49
154,Dingzhou,CN,2021-04-14 23:27:47,38.5131,114.9956,48.2,71,0,2.24
155,Birao,CF,2021-04-14 23:27:47,10.2849,22.7882,76.42,7,14,6.55
156,Nosy Varika,MG,2021-04-14 23:27:48,-20.5833,48.5333,73.13,92,100,4.16
157,Marsa Matruh,EG,2021-04-14 23:27:52,31.3525,27.2453,59.0,82,0,6.91
158,Nanortalik,GL,2021-04-14 23:27:52,60.1432,-45.2371,32.97,89,23,12.01
159,Gagino,RU,2021-04-14 23:27:53,55.2314,45.0339,50.7,83,5,5.19
160,Road Town,VG,2021-04-14 23:27:53,18.4167,-64.6167,78.8,78,40,9.22
161,Lavrentiya,RU,2021-04-14 23:27:53,65.5833,-171.0,28.65,94,100,1.1
162,Sampit,ID,2021-04-14 23:27:53,-2.5333,112.95,73.22,97,100,2.19
163,Prudyanka,UA,2021-04-14 23:27:55,50.2361,36.1683,48.2,100,40,6.71
164,Matamoros,MX,2021-04-14 23:27:55,25.5333,-103.25,96.8,5,20,6.91
165,Inta,RU,2021-04-14 23:27:55,66.0317,60.1659,32.16,97,100,13.85
166,Saint George,US,2021-04-14 23:26:16,37.1041,-113.5841,71.6,15,1,16.11
167,Hithadhoo,MV,2021-04-14 23:27:57,-0.6,73.0833,81.82,67,41,2.48
168,Salta,AR,2021-04-14 23:27:57,-24.7859,-65.4117,64.4,82,90,5.75
169,Sakakah,SA,2021-04-14 23:27:57,29.9697,40.2064,64.4,17,0,14.97
170,Dong Hoi,VN,2021-04-14 23:27:58,17.4833,106.6,74.84,91,49,5.32
171,Kehtna,EE,2021-04-14 23:27:58,58.9303,24.8781,32.0,88,100,1.99
172,Nemuro,JP,2021-04-14 23:28:00,43.3236,145.575,36.14,63,58,8.46
173,Mayo,US,2021-04-14 23:27:50,38.8876,-76.5119,57.99,94,90,5.75
