City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Carutapera,BR,76.73,broken clouds,-1.195,-46.02,Lidera
243,Ishigaki,JP,73.4,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
246,Myitkyina,MM,71.71,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
248,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Arlit,NE,85.78,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
254,Siaya,KE,68.0,light rain,0.0612,34.2882,Siala Apartments
255,Aquiraz,BR,82.99,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
256,Clovis,US,81.0,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
259,Sao Joao Da Barra,BR,72.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
260,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
263,Acarau,BR,79.38,scattered clouds,-2.8856,-40.12,castelo pizzaria
264,Rock Sound,BS,76.24,scattered clouds,24.9,-76.2,Rock Sound Club
265,Kourou,GF,78.01,heavy intensity rain,5.1552,-52.6478,Lodge Takini 4
266,Meulaboh,ID,76.87,moderate rain,4.1363,96.1285,Kost Pria
267,Tual,ID,83.53,broken clouds,-5.6667,132.75,Grand Vilia Hotel
269,Manggar,ID,80.58,few clouds,-2.8833,108.2667,Guest Hotel
272,Xai-Xai,MZ,66.25,overcast clouds,-25.0519,33.6442,Complexo da Familia
275,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
280,Jibuti,DJ,82.4,haze,11.5,42.5,Orchid Main Camp Goubet
281,Japura,ID,72.88,moderate rain,-0.3167,102.35,Rumah mbah Jamah
282,Ibra,OM,75.63,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
283,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
296,Mehriz,IR,78.8,scattered clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
297,Bahia De Caraquez,EC,77.0,scattered clouds,-0.6,-80.4167,La Piedra Hotel
301,Altamont,US,66.0,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
302,Vila Do Maio,CV,69.8,few clouds,15.1333,-23.2167,Hotel Marilu
308,Bilma,NE,88.03,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
309,Nhamunda,BR,76.55,moderate rain,-2.1861,-56.7131,Pousada Da Praia
312,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
320,Bom Jesus,BR,78.75,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
321,Owando,CG,70.56,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
322,Gigmoto,PH,79.63,overcast clouds,13.7796,124.39,Cj's Travellers Inn
324,Vung Tau,VN,79.61,broken clouds,10.345999999999998,107.0843,Green hotel
326,Laguna,US,79.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
328,Nchelenge,ZM,69.76,broken clouds,-9.3451,28.734,KD Travellers Home
333,Palora,EC,68.0,light rain,-1.7,-77.9333,Rancho grande
